Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio
1,0,0.0,0,
2,249636,249882.5,250129,1.001
4,374377,374780.25,375097,1.001
8,437248,437458.12,437814,1.001
16,468444,468794.25,469148,1.001
32,484108,484389.97,484715,1.001
64,491782,492220.91,492563,1.001
128,495681,496100.02,496501,1.001
