matrix,mode,opt_level,schedule,chunk_size,num_threads,perc90_elapsed_time
tmt_sym.mtx,parallel,-O3,dynamic,10000,2,0.01943
tmt_sym.mtx,parallel,-O3,dynamic,10000,4,0.02138
tmt_sym.mtx,parallel,-O3,dynamic,1000,8,0.02066
tmt_sym.mtx,parallel,-O3,dynamic,10000,16,0.02044
tmt_sym.mtx,parallel,-O3,dynamic,100,32,0.02248
tmt_sym.mtx,parallel,-O3,dynamic,10000,64,0.02825
tmt_sym.mtx,parallel,-O3,guided,10,1,0.00601
tmt_sym.mtx,parallel,-O3,guided,100,2,0.01782
tmt_sym.mtx,parallel,-O3,guided,10,4,0.02015
tmt_sym.mtx,parallel,-O3,guided,1,8,0.01917
tmt_sym.mtx,parallel,-O3,guided,1000,16,0.01966
tmt_sym.mtx,parallel,-O3,guided,10000,32,0.02
tmt_sym.mtx,parallel,-O3,guided,1,64,0.02409
tmt_sym.mtx,parallel,-O3,static,1,1,0.006
tmt_sym.mtx,parallel,-O3,static,10000,2,0.0178
tmt_sym.mtx,parallel,-O3,static,1000,4,0.01917
tmt_sym.mtx,parallel,-O3,static,10000,8,0.02075
tmt_sym.mtx,parallel,-O3,static,10000,16,0.01977
tmt_sym.mtx,parallel,-O3,static,100,32,0.02367
tmt_sym.mtx,parallel,-O3,static,10000,64,0.02566
tmt_sym.mtx,sequential,-O3,none,none,1,0.00532
