matrix,schedule,num_threads,chunk_size,speedup,seq_L1_miss,par_L1_miss,L1_miss_increase,L1_miss_ratio,seq_LLC_miss,par_LLC_miss,LLC_miss_increase,LLC_miss_ratio
Andrews.mtx,static,32,1000,3.2314092790241777,1.02,0.99,-0.030000000000000027,0.9705882352941176,24.974,25.489,0.5150000000000006,1.0206214463041563
Hook_1498.mtx,static,32,1000,6.827555577374167,0.26,0.25,-0.010000000000000009,0.9615384615384615,50.776,52.728,1.9519999999999982,1.038443359067276
bcsstk27.mtx,guided,1,10,0.9946808510638298,0.23,0.25,0.01999999999999999,1.0869565217391304,55.754,63.314,7.560000000000002,1.1355956523298778
msdoor.mtx,static,64,100,12.073667115856397,0.25,0.24,-0.010000000000000009,0.96,41.352,40.206,-1.1459999999999937,0.9722867092280907
tmt_sym.mtx,static,64,10000,6.5902578437394235,0.23,0.22,-0.010000000000000009,0.9565217391304347,57.55,49.297,-8.253,0.8565942658557776
