matrix,mode,opt_level,schedule,chunk_size,num_threads,elapsed_time,L1_miss_rate,LLC_miss_rate
bcsstk27.mtx,parallel,-O3,static,1000,4,0.02536,0.25,13.49
bcsstk27.mtx,parallel,-O3,static,1000,8,0.03416,0.241,18.871
bcsstk27.mtx,parallel,-O3,static,1000,16,0.0595,0.224,16.915
bcsstk27.mtx,parallel,-O3,static,1000,32,0.0832,0.181,18.602
bcsstk27.mtx,parallel,-O3,static,1000,64,0.09789,0.12,15.603
bcsstk27.mtx,parallel,-O3,static,10000,1,7e-05,0.24,12.051
bcsstk27.mtx,parallel,-O3,static,10000,2,0.01791,0.24,17.505
bcsstk27.mtx,parallel,-O3,static,10000,4,0.01707,0.241,20.386
bcsstk27.mtx,parallel,-O3,static,10000,8,0.01962,0.25,14.103
bcsstk27.mtx,parallel,-O3,static,10000,16,0.0432,0.23,19.78
bcsstk27.mtx,parallel,-O3,static,10000,32,0.05238,0.19,18.262
bcsstk27.mtx,parallel,-O3,static,10000,64,0.08135,0.121,15.204
bcsstk27.mtx,parallel,-O3,dynamic,1,1,0.0001,0.24,11.975
bcsstk27.mtx,parallel,-O3,dynamic,1,2,0.00272,0.402,31.947
bcsstk27.mtx,parallel,-O3,dynamic,1,4,0.03022,0.48,21.422
bcsstk27.mtx,parallel,-O3,dynamic,1,8,0.04972,0.52,24.771
bcsstk27.mtx,parallel,-O3,dynamic,1,16,0.07597,0.501,28.42
bcsstk27.mtx,parallel,-O3,dynamic,1,32,0.04867,0.346,26.172
bcsstk27.mtx,parallel,-O3,dynamic,1,64,0.07016,0.262,24.778
bcsstk27.mtx,parallel,-O3,dynamic,10,1,8e-05,0.24,12.906
bcsstk27.mtx,parallel,-O3,dynamic,10,2,0.00376,0.371,20.597
bcsstk27.mtx,parallel,-O3,dynamic,10,4,0.00985,0.31,28.152
bcsstk27.mtx,parallel,-O3,dynamic,10,8,0.02445,0.281,31.04
bcsstk27.mtx,parallel,-O3,dynamic,10,16,0.03611,0.261,25.563
bcsstk27.mtx,parallel,-O3,dynamic,10,32,0.03757,0.192,23.767
bcsstk27.mtx,parallel,-O3,dynamic,10,64,0.079,0.14,19.965
bcsstk27.mtx,parallel,-O3,dynamic,100,1,7e-05,0.24,14.631
bcsstk27.mtx,parallel,-O3,dynamic,100,2,0.00061,0.25,19.254
bcsstk27.mtx,parallel,-O3,dynamic,100,4,0.00124,0.25,19.999
bcsstk27.mtx,parallel,-O3,dynamic,100,8,0.02796,0.242,26.572
bcsstk27.mtx,parallel,-O3,dynamic,100,16,0.04786,0.27,20.604
bcsstk27.mtx,parallel,-O3,dynamic,100,32,0.05999,0.183,19.224
bcsstk27.mtx,parallel,-O3,dynamic,100,64,0.0776,0.132,18.227
bcsstk27.mtx,parallel,-O3,dynamic,1000,1,7e-05,0.24,12.448
bcsstk27.mtx,parallel,-O3,dynamic,1000,2,0.01455,0.24,15.067
bcsstk27.mtx,parallel,-O3,dynamic,1000,4,0.01452,0.25,19.323
bcsstk27.mtx,parallel,-O3,dynamic,1000,8,0.0282,0.25,22.785
bcsstk27.mtx,parallel,-O3,dynamic,1000,16,0.06584,0.222,19.774
bcsstk27.mtx,parallel,-O3,dynamic,1000,32,0.05419,0.18,20.346
bcsstk27.mtx,parallel,-O3,dynamic,1000,64,0.0615,0.13,17.418
bcsstk27.mtx,parallel,-O3,dynamic,10000,1,8e-05,0.24,9.456
bcsstk27.mtx,parallel,-O3,dynamic,10000,2,0.01396,0.24,18.226
bcsstk27.mtx,parallel,-O3,dynamic,10000,4,0.02393,0.25,14.131
bcsstk27.mtx,parallel,-O3,dynamic,10000,8,0.01586,0.25,20.994
bcsstk27.mtx,parallel,-O3,dynamic,10000,16,0.08136,0.191,16.45
bcsstk27.mtx,parallel,-O3,dynamic,10000,32,0.059,0.201,18.479
bcsstk27.mtx,parallel,-O3,dynamic,10000,64,0.076,0.131,17.12
bcsstk27.mtx,parallel,-O3,guided,1,1,8e-05,0.24,16.898
bcsstk27.mtx,parallel,-O3,guided,1,2,0.00265,0.25,18.066
bcsstk27.mtx,parallel,-O3,guided,1,4,0.01001,0.26,25.365
bcsstk27.mtx,parallel,-O3,guided,1,8,0.02025,0.27,30.62
bcsstk27.mtx,parallel,-O3,guided,1,16,0.06068,0.241,24.993
bcsstk27.mtx,parallel,-O3,guided,1,32,0.03377,0.221,21.954
bcsstk27.mtx,parallel,-O3,guided,1,64,0.07536,0.152,21.785
bcsstk27.mtx,parallel,-O3,guided,10,1,8e-05,0.24,9.816
bcsstk27.mtx,parallel,-O3,guided,10,2,0.00077,0.25,16.248
bcsstk27.mtx,parallel,-O3,guided,10,4,0.00234,0.26,21.541
bcsstk27.mtx,parallel,-O3,guided,10,8,0.01559,0.26,22.93
bcsstk27.mtx,parallel,-O3,guided,10,16,0.06743,0.231,22.515
bcsstk27.mtx,parallel,-O3,guided,10,32,0.08197,0.2,22.023
bcsstk27.mtx,parallel,-O3,guided,10,64,0.07564,0.141,20.313
bcsstk27.mtx,parallel,-O3,guided,100,1,7e-05,0.24,9.647
bcsstk27.mtx,parallel,-O3,guided,100,2,0.00134,0.25,16.76
bcsstk27.mtx,parallel,-O3,guided,100,4,0.0199,0.25,21.029
bcsstk27.mtx,parallel,-O3,guided,100,8,0.02134,0.26,18.171
bcsstk27.mtx,parallel,-O3,guided,100,16,0.05096,0.212,20.34
bcsstk27.mtx,parallel,-O3,guided,100,32,0.05383,0.191,19.814
bcsstk27.mtx,parallel,-O3,guided,100,64,0.08209,0.13,19.428
bcsstk27.mtx,parallel,-O3,guided,1000,1,7e-05,0.24,15.312
bcsstk27.mtx,parallel,-O3,guided,1000,2,0.02101,0.24,18.744
bcsstk27.mtx,parallel,-O3,guided,1000,4,0.0175,0.25,17.926
bcsstk27.mtx,parallel,-O3,guided,1000,8,0.0477,0.25,20.817
bcsstk27.mtx,parallel,-O3,guided,1000,16,0.03982,0.22,23.065
bcsstk27.mtx,parallel,-O3,guided,1000,32,0.07292,0.173,18.397
bcsstk27.mtx,parallel,-O3,guided,1000,64,0.07549,0.12,17.742
bcsstk27.mtx,parallel,-O3,guided,10000,1,7e-05,0.24,13.1
bcsstk27.mtx,parallel,-O3,guided,10000,2,0.00245,0.24,12.986
bcsstk27.mtx,parallel,-O3,guided,10000,4,0.01533,0.241,21.968
bcsstk27.mtx,parallel,-O3,guided,10000,8,0.02457,0.25,18.772
bcsstk27.mtx,parallel,-O3,guided,10000,16,0.0548,0.214,19.567
bcsstk27.mtx,parallel,-O3,guided,10000,32,0.05859,0.182,19.742
bcsstk27.mtx,parallel,-O3,guided,10000,64,0.09486,0.131,17.34
Hook_1498.mtx,parallel,-O3,static,1,1,0.04353,0.231,26.426
Hook_1498.mtx,parallel,-O3,static,1,2,0.19871,0.28,66.522
Hook_1498.mtx,parallel,-O3,static,1,4,0.22684,0.3,75.68
Hook_1498.mtx,parallel,-O3,static,1,8,0.2699,0.32,80.846
Hook_1498.mtx,parallel,-O3,static,1,16,0.17327,0.33,71.967
Hook_1498.mtx,parallel,-O3,static,1,32,0.14128,0.35,70.069
Hook_1498.mtx,parallel,-O3,static,1,64,0.16773,0.36,57.103
Hook_1498.mtx,parallel,-O3,static,10,1,0.0434,0.23,26.286
Hook_1498.mtx,parallel,-O3,static,10,2,0.19322,0.25,66.891
Hook_1498.mtx,parallel,-O3,static,10,4,0.18841,0.25,73.157
Hook_1498.mtx,parallel,-O3,static,10,8,0.15374,0.26,59.054
Hook_1498.mtx,parallel,-O3,static,10,16,0.12771,0.26,45.861
Hook_1498.mtx,parallel,-O3,static,10,32,0.12183,0.26,39.978
Hook_1498.mtx,parallel,-O3,static,10,64,0.14986,0.27,38.862
Hook_1498.mtx,parallel,-O3,static,100,1,0.04332,0.231,26.371
Hook_1498.mtx,parallel,-O3,static,100,2,0.16051,0.24,37.654
Hook_1498.mtx,parallel,-O3,static,100,4,0.18676,0.241,49.526
Hook_1498.mtx,parallel,-O3,static,100,8,0.15198,0.241,41.314
Hook_1498.mtx,parallel,-O3,static,100,16,0.12277,0.25,37.902
Hook_1498.mtx,parallel,-O3,static,100,32,0.11354,0.25,35.004
Hook_1498.mtx,parallel,-O3,static,100,64,0.13963,0.25,34.19
Hook_1498.mtx,parallel,-O3,static,1000,1,0.04372,0.23,26.284
Hook_1498.mtx,parallel,-O3,static,1000,2,0.15851,0.24,33.231
Hook_1498.mtx,parallel,-O3,static,1000,4,0.18282,0.24,41.182
Hook_1498.mtx,parallel,-O3,static,1000,8,0.13974,0.24,38.589
Hook_1498.mtx,parallel,-O3,static,1000,16,0.12835,0.24,37.512
Hook_1498.mtx,parallel,-O3,static,1000,32,0.1129,0.24,36.531
Hook_1498.mtx,parallel,-O3,static,1000,64,0.14628,0.24,36.346
Hook_1498.mtx,parallel,-O3,static,10000,1,0.04373,0.231,26.551
Hook_1498.mtx,parallel,-O3,static,10000,2,0.15311,0.24,31.135
Hook_1498.mtx,parallel,-O3,static,10000,4,0.18579,0.24,34.649
Hook_1498.mtx,parallel,-O3,static,10000,8,0.15038,0.24,34.429
Hook_1498.mtx,parallel,-O3,static,10000,16,0.12643,0.24,33.987
Hook_1498.mtx,parallel,-O3,static,10000,32,0.11618,0.24,34.038
Hook_1498.mtx,parallel,-O3,static,10000,64,0.14821,0.241,33.798
Hook_1498.mtx,parallel,-O3,dynamic,1,1,0.0661,0.23,27.851
Hook_1498.mtx,parallel,-O3,dynamic,1,2,2.61781,0.411,41.364
Hook_1498.mtx,parallel,-O3,dynamic,1,4,2.51892,0.46,77.257
Hook_1498.mtx,parallel,-O3,dynamic,1,8,2.21665,0.51,42.122
Hook_1498.mtx,parallel,-O3,dynamic,1,16,1.98639,0.551,37.292
Hook_1498.mtx,parallel,-O3,dynamic,1,32,1.5577,0.55,36.357
Hook_1498.mtx,parallel,-O3,dynamic,1,64,1.40312,0.55,26.923
Hook_1498.mtx,parallel,-O3,dynamic,10,1,0.04647,0.23,27.434
Hook_1498.mtx,parallel,-O3,dynamic,10,2,1.79669,0.35,61.136
Hook_1498.mtx,parallel,-O3,dynamic,10,4,0.65879,0.29,61.325
Hook_1498.mtx,parallel,-O3,dynamic,10,8,0.39388,0.28,56.236
Hook_1498.mtx,parallel,-O3,dynamic,10,16,0.25673,0.28,44.44
Hook_1498.mtx,parallel,-O3,dynamic,10,32,0.22798,0.28,38.237
Hook_1498.mtx,parallel,-O3,dynamic,10,64,0.22047,0.28,37.65
Hook_1498.mtx,parallel,-O3,dynamic,100,1,0.04482,0.231,26.833
Hook_1498.mtx,parallel,-O3,dynamic,100,2,0.18203,0.24,39.956
Hook_1498.mtx,parallel,-O3,dynamic,100,4,0.18696,0.24,48.168
Hook_1498.mtx,parallel,-O3,dynamic,100,8,0.15322,0.25,42.388
Hook_1498.mtx,parallel,-O3,dynamic,100,16,0.13202,0.241,40.42
Hook_1498.mtx,parallel,-O3,dynamic,100,32,0.11788,0.25,39.26
Hook_1498.mtx,parallel,-O3,dynamic,100,64,0.14571,0.25,39.884
Hook_1498.mtx,parallel,-O3,dynamic,1000,1,0.04366,0.23,26.722
Hook_1498.mtx,parallel,-O3,dynamic,1000,2,0.16096,0.24,32.556
Hook_1498.mtx,parallel,-O3,dynamic,1000,4,0.18566,0.24,38.785
Hook_1498.mtx,parallel,-O3,dynamic,1000,8,0.15745,0.24,37.637
Hook_1498.mtx,parallel,-O3,dynamic,1000,16,0.12413,0.24,36.959
Hook_1498.mtx,parallel,-O3,dynamic,1000,32,0.12405,0.24,36.245
Hook_1498.mtx,parallel,-O3,dynamic,1000,64,0.14443,0.24,36.892
Hook_1498.mtx,parallel,-O3,dynamic,10000,1,0.0438,0.231,26.875
Hook_1498.mtx,parallel,-O3,dynamic,10000,2,0.16525,0.24,31.139
Hook_1498.mtx,parallel,-O3,dynamic,10000,4,0.18623,0.24,34.594
Hook_1498.mtx,parallel,-O3,dynamic,10000,8,0.15439,0.24,33.635
Hook_1498.mtx,parallel,-O3,dynamic,10000,16,0.13114,0.24,33.078
Hook_1498.mtx,parallel,-O3,dynamic,10000,32,0.12209,0.24,32.186
Hook_1498.mtx,parallel,-O3,dynamic,10000,64,0.14521,0.24,31.716
Hook_1498.mtx,parallel,-O3,guided,1,1,0.0436,0.23,26.569
Hook_1498.mtx,parallel,-O3,guided,1,2,0.15661,0.24,27.899
Hook_1498.mtx,parallel,-O3,guided,1,4,0.17088,0.24,26.853
Hook_1498.mtx,parallel,-O3,guided,1,8,0.15605,0.24,28.128
Hook_1498.mtx,parallel,-O3,guided,1,16,0.12348,0.24,30.055
Hook_1498.mtx,parallel,-O3,guided,1,32,0.11858,0.24,32.575
Hook_1498.mtx,parallel,-O3,guided,1,64,0.14818,0.24,34.493
Hook_1498.mtx,parallel,-O3,guided,10,1,0.0434,0.23,26.408
Hook_1498.mtx,parallel,-O3,guided,10,2,0.15443,0.24,27.758
Hook_1498.mtx,parallel,-O3,guided,10,4,0.17723,0.24,26.802
Hook_1498.mtx,parallel,-O3,guided,10,8,0.1475,0.24,27.488
Hook_1498.mtx,parallel,-O3,guided,10,16,0.12221,0.24,29.796
Hook_1498.mtx,parallel,-O3,guided,10,32,0.11711,0.24,32.423
Hook_1498.mtx,parallel,-O3,guided,10,64,0.15046,0.24,33.697
Hook_1498.mtx,parallel,-O3,guided,100,1,0.04345,0.231,26.741
Hook_1498.mtx,parallel,-O3,guided,100,2,0.15334,0.24,27.525
Hook_1498.mtx,parallel,-O3,guided,100,4,0.1736,0.24,26.733
Hook_1498.mtx,parallel,-O3,guided,100,8,0.15378,0.24,27.645
Hook_1498.mtx,parallel,-O3,guided,100,16,0.12681,0.24,30.468
Hook_1498.mtx,parallel,-O3,guided,100,32,0.11795,0.24,32.626
Hook_1498.mtx,parallel,-O3,guided,100,64,0.14597,0.241,34.727
Hook_1498.mtx,parallel,-O3,guided,1000,1,0.04322,0.23,26.421
Hook_1498.mtx,parallel,-O3,guided,1000,2,0.16361,0.24,26.974
Hook_1498.mtx,parallel,-O3,guided,1000,4,0.17877,0.241,26.18
Hook_1498.mtx,parallel,-O3,guided,1000,8,0.15273,0.24,27.669
Hook_1498.mtx,parallel,-O3,guided,1000,16,0.12624,0.24,30.326
Hook_1498.mtx,parallel,-O3,guided,1000,32,0.11685,0.24,32.03
Hook_1498.mtx,parallel,-O3,guided,1000,64,0.13609,0.24,34.061
Hook_1498.mtx,parallel,-O3,guided,10000,1,0.04326,0.23,26.431
Hook_1498.mtx,parallel,-O3,guided,10000,2,0.16526,0.24,28.118
Hook_1498.mtx,parallel,-O3,guided,10000,4,0.18459,0.24,26.428
Hook_1498.mtx,parallel,-O3,guided,10000,8,0.14775,0.24,27.433
Hook_1498.mtx,parallel,-O3,guided,10000,16,0.12684,0.24,29.587
Hook_1498.mtx,parallel,-O3,guided,10000,32,0.11731,0.24,31.609
Hook_1498.mtx,parallel,-O3,guided,10000,64,0.14428,0.25,33.187
msdoor.mtx,parallel,-O3,static,1,1,0.01842,0.24,42.894
msdoor.mtx,parallel,-O3,static,1,2,0.25251,0.38,35.029
msdoor.mtx,parallel,-O3,static,1,4,0.16014,0.341,71.156
msdoor.mtx,parallel,-O3,static,1,8,0.14152,0.34,66.972
msdoor.mtx,parallel,-O3,static,1,16,0.05839,0.33,67.565
msdoor.mtx,parallel,-O3,static,1,32,0.05353,0.34,60.088
msdoor.mtx,parallel,-O3,static,1,64,0.06588,0.35,45.42
msdoor.mtx,parallel,-O3,static,10,1,0.01834,0.24,42.913
msdoor.mtx,parallel,-O3,static,10,2,0.13748,0.31,41.158
msdoor.mtx,parallel,-O3,static,10,4,0.04999,0.26,67.939
msdoor.mtx,parallel,-O3,static,10,8,0.04774,0.26,58.028
msdoor.mtx,parallel,-O3,static,10,16,0.04637,0.26,50.261
msdoor.mtx,parallel,-O3,static,10,32,0.04442,0.26,48.5
msdoor.mtx,parallel,-O3,static,10,64,0.05808,0.261,45.893
msdoor.mtx,parallel,-O3,static,100,1,0.01842,0.24,43.089
msdoor.mtx,parallel,-O3,static,100,2,0.02623,0.25,41.27
msdoor.mtx,parallel,-O3,static,100,4,0.03967,0.24,54.043
msdoor.mtx,parallel,-O3,static,100,8,0.04483,0.25,50.381
msdoor.mtx,parallel,-O3,static,100,16,0.04405,0.25,49.709
msdoor.mtx,parallel,-O3,static,100,32,0.04323,0.25,48.624
msdoor.mtx,parallel,-O3,static,100,64,0.05556,0.25,48.573
msdoor.mtx,parallel,-O3,static,1000,1,0.01838,0.24,42.797
msdoor.mtx,parallel,-O3,static,1000,2,0.02342,0.24,41.594
msdoor.mtx,parallel,-O3,static,1000,4,0.0349,0.24,48.371
msdoor.mtx,parallel,-O3,static,1000,8,0.04213,0.241,49.662
msdoor.mtx,parallel,-O3,static,1000,16,0.04598,0.25,50.944
msdoor.mtx,parallel,-O3,static,1000,32,0.04307,0.25,49.645
msdoor.mtx,parallel,-O3,static,1000,64,0.05426,0.25,48.726
msdoor.mtx,parallel,-O3,static,10000,1,0.01835,0.24,43.081
msdoor.mtx,parallel,-O3,static,10000,2,0.02513,0.24,43.715
msdoor.mtx,parallel,-O3,static,10000,4,0.03469,0.24,46.725
msdoor.mtx,parallel,-O3,static,10000,8,0.04005,0.24,48.904
msdoor.mtx,parallel,-O3,static,10000,16,0.044,0.241,50.093
msdoor.mtx,parallel,-O3,static,10000,32,0.04241,0.241,49.529
msdoor.mtx,parallel,-O3,static,10000,64,0.04872,0.241,49.616
msdoor.mtx,parallel,-O3,dynamic,1,1,0.02575,0.24,44.345
