matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time_perf,p90_L1_miss,p90_LLC_miss
Andrews.mtx,parallel,-O3,dynamic,10000,16,55.531502,1.151,26.01
Andrews.mtx,parallel,-O3,dynamic,10000,32,62.538147,1.031,23.764
Andrews.mtx,parallel,-O3,dynamic,10000,64,67.504501,0.912,21.62
Andrews.mtx,parallel,-O3,guided,1,1,0.905538,1.18,7.2
Andrews.mtx,parallel,-O3,guided,1,2,25.996399,1.18,16.118
Andrews.mtx,parallel,-O3,guided,1,4,1.067185,1.18,18.462
Andrews.mtx,parallel,-O3,guided,1,8,27.701092,1.171,17.309
Andrews.mtx,parallel,-O3,guided,1,16,34.410906,1.162,19.258
Andrews.mtx,parallel,-O3,guided,1,32,46.990967,1.077,16.373
Andrews.mtx,parallel,-O3,guided,1,64,63.052106,0.932,15.551
Andrews.mtx,parallel,-O3,guided,10,1,1.043319,1.18,8.942
Andrews.mtx,parallel,-O3,guided,10,2,25.99628,1.18,16.372
Andrews.mtx,parallel,-O3,guided,10,4,26.098704,1.18,22.475
Andrews.mtx,parallel,-O3,guided,10,8,41.791129,1.171,14.642
Andrews.mtx,parallel,-O3,guided,10,16,49.584985,1.16,18.724
Andrews.mtx,parallel,-O3,guided,10,32,45.282841,1.13,16.375
Andrews.mtx,parallel,-O3,guided,10,64,84.70838,0.931,16.972
Andrews.mtx,parallel,-O3,guided,100,1,0.894547,1.18,7.092
Andrews.mtx,parallel,-O3,guided,100,2,0.481344,1.18,15.38
Andrews.mtx,parallel,-O3,guided,100,4,25.99628,1.18,18.606
Andrews.mtx,parallel,-O3,guided,100,8,27.762103,1.171,18.311
Andrews.mtx,parallel,-O3,guided,100,16,36.856938,1.16,17.924
Andrews.mtx,parallel,-O3,guided,100,32,56.473065,1.055,15.808
Andrews.mtx,parallel,-O3,guided,100,64,66.651225,0.933,15.446
Andrews.mtx,parallel,-O3,guided,1000,1,0.893283,1.18,8.206
Andrews.mtx,parallel,-O3,guided,1000,2,2.856445,1.18,13.687
Andrews.mtx,parallel,-O3,guided,1000,4,20.720267,1.18,17.816
Andrews.mtx,parallel,-O3,guided,1000,8,28.829837,1.171,15.42
Andrews.mtx,parallel,-O3,guided,1000,16,95.025039,1.143,15.456
Andrews.mtx,parallel,-O3,guided,1000,32,62.075519,1.061,15.261
Andrews.mtx,parallel,-O3,guided,1000,64,76.583195,0.932,15.75
Andrews.mtx,parallel,-O3,guided,10000,1,0.892139,1.18,6.87
Andrews.mtx,parallel,-O3,guided,10000,2,14.696169,1.18,15.388
Andrews.mtx,parallel,-O3,guided,10000,4,25.995016,1.18,16.394
Andrews.mtx,parallel,-O3,guided,10000,8,26.238632,1.18,24.641
Andrews.mtx,parallel,-O3,guided,10000,16,25.995803,1.16,24.228
Andrews.mtx,parallel,-O3,guided,10000,32,89.449358,1.045,22.029
Andrews.mtx,parallel,-O3,guided,10000,64,69.854927,0.922,24.007
bcsstk27.mtx,parallel,-O3,static,1,1,0.032782,0.27,13.516
bcsstk27.mtx,parallel,-O3,static,1,2,0.036406,0.32,21.645
bcsstk27.mtx,parallel,-O3,static,1,4,18.762469,0.35,40.816
bcsstk27.mtx,parallel,-O3,static,1,8,25.995707,0.37,31.093
bcsstk27.mtx,parallel,-O3,static,1,16,31.164622,0.391,37.406
bcsstk27.mtx,parallel,-O3,static,1,32,53.655029,0.309,31.066
bcsstk27.mtx,parallel,-O3,static,1,64,71.001459,0.132,26.425
bcsstk27.mtx,parallel,-O3,static,10,1,0.030994,0.27,13.005
bcsstk27.mtx,parallel,-O3,static,10,2,2.621841,0.28,22.189
bcsstk27.mtx,parallel,-O3,static,10,4,0.018954,0.29,37.018
bcsstk27.mtx,parallel,-O3,static,10,8,26.208353,0.31,28.478
bcsstk27.mtx,parallel,-O3,static,10,16,25.889969,0.3,28.086
bcsstk27.mtx,parallel,-O3,static,10,32,51.130295,0.165,23.438
bcsstk27.mtx,parallel,-O3,static,10,64,91.009378,0.101,21.541
bcsstk27.mtx,parallel,-O3,static,100,1,0.030994,0.27,14.654
bcsstk27.mtx,parallel,-O3,static,100,2,1.86882,0.271,19.71
bcsstk27.mtx,parallel,-O3,static,100,4,2.613806,0.28,22.547
bcsstk27.mtx,parallel,-O3,static,100,8,25.955271,0.28,28.593
bcsstk27.mtx,parallel,-O3,static,100,16,44.314719,0.244,23.752
bcsstk27.mtx,parallel,-O3,static,100,32,56.105113,0.154,20.34
bcsstk27.mtx,parallel,-O3,static,100,64,88.002205,0.1,18.652
bcsstk27.mtx,parallel,-O3,static,1000,1,0.049091,0.27,14.79
bcsstk27.mtx,parallel,-O3,static,1000,2,0.540972,0.27,12.658
bcsstk27.mtx,parallel,-O3,static,1000,4,0.030041,0.28,25.701
bcsstk27.mtx,parallel,-O3,static,1000,8,26.184201,0.28,21.211
bcsstk27.mtx,parallel,-O3,static,1000,16,71.339249,0.254,18.762
bcsstk27.mtx,parallel,-O3,static,1000,32,48.597646,0.155,18.199
bcsstk27.mtx,parallel,-O3,static,1000,64,68.027377,0.1,17.618
bcsstk27.mtx,parallel,-O3,static,10000,1,0.030994,0.27,10.734
bcsstk27.mtx,parallel,-O3,static,10000,2,1.860142,0.27,16.865
bcsstk27.mtx,parallel,-O3,static,10000,4,2.630449,0.27,21.775
bcsstk27.mtx,parallel,-O3,static,10000,8,26.993513,0.28,24.289
bcsstk27.mtx,parallel,-O3,static,10000,16,25.997018,0.254,20.865
bcsstk27.mtx,parallel,-O3,static,10000,32,57.602597,0.141,19.096
bcsstk27.mtx,parallel,-O3,static,10000,64,80.483341,0.1,18.092
bcsstk27.mtx,parallel,-O3,dynamic,1,1,0.062728,0.27,15.83
bcsstk27.mtx,parallel,-O3,dynamic,1,2,0.221014,0.34,49.297
bcsstk27.mtx,parallel,-O3,dynamic,1,4,2.871561,0.37,45.582
bcsstk27.mtx,parallel,-O3,dynamic,1,8,43.874454,0.381,31.258
bcsstk27.mtx,parallel,-O3,dynamic,1,16,31.88293,0.42,26.327
bcsstk27.mtx,parallel,-O3,dynamic,1,32,81.982756,0.27,27.286
bcsstk27.mtx,parallel,-O3,dynamic,1,64,56.151318,0.13,22.226
bcsstk27.mtx,parallel,-O3,dynamic,10,1,0.034642,0.27,14.323
bcsstk27.mtx,parallel,-O3,dynamic,10,2,0.283146,0.28,29.006
bcsstk27.mtx,parallel,-O3,dynamic,10,4,0.027251,0.29,26.432
bcsstk27.mtx,parallel,-O3,dynamic,10,8,20.332146,0.292,25.81
bcsstk27.mtx,parallel,-O3,dynamic,10,16,29.788994,0.302,25.856
bcsstk27.mtx,parallel,-O3,dynamic,10,32,66.666818,0.176,22.792
bcsstk27.mtx,parallel,-O3,dynamic,10,64,66.899801,0.11,24.511
bcsstk27.mtx,parallel,-O3,dynamic,100,1,0.031972,0.27,14.696
bcsstk27.mtx,parallel,-O3,dynamic,100,2,2.667499,0.28,24.625
bcsstk27.mtx,parallel,-O3,dynamic,100,4,0.019264,0.28,27.319
bcsstk27.mtx,parallel,-O3,dynamic,100,8,55.519795,0.28,21.53
bcsstk27.mtx,parallel,-O3,dynamic,100,16,47.550082,0.263,20.625
bcsstk27.mtx,parallel,-O3,dynamic,100,32,55.827832,0.154,22.322
bcsstk27.mtx,parallel,-O3,dynamic,100,64,81.15778,0.091,21.159
bcsstk27.mtx,parallel,-O3,dynamic,1000,1,0.030994,0.27,15.487
bcsstk27.mtx,parallel,-O3,dynamic,1000,2,0.077176,0.27,22.365
bcsstk27.mtx,parallel,-O3,dynamic,1000,4,2.644443,0.271,19.068
bcsstk27.mtx,parallel,-O3,dynamic,1000,8,29.017783,0.28,22.031
bcsstk27.mtx,parallel,-O3,dynamic,1000,16,47.48354,0.245,23.772
bcsstk27.mtx,parallel,-O3,dynamic,1000,32,77.448201,0.132,22.344
bcsstk27.mtx,parallel,-O3,dynamic,1000,64,77.244735,0.091,19.242
bcsstk27.mtx,parallel,-O3,dynamic,10000,1,0.030994,0.27,15.753
bcsstk27.mtx,parallel,-O3,dynamic,10000,2,0.057077,0.27,19.683
bcsstk27.mtx,parallel,-O3,dynamic,10000,4,14.455389,0.28,19.621
bcsstk27.mtx,parallel,-O3,dynamic,10000,8,25.994039,0.281,21.795
bcsstk27.mtx,parallel,-O3,dynamic,10000,16,24.96624,0.29,20.609
bcsstk27.mtx,parallel,-O3,dynamic,10000,32,27.973866,0.214,19.055
bcsstk27.mtx,parallel,-O3,dynamic,10000,64,74.962354,0.091,17.942
bcsstk27.mtx,parallel,-O3,guided,1,1,0.030994,0.27,14.187
bcsstk27.mtx,parallel,-O3,guided,1,2,0.030136,0.27,21.899
bcsstk27.mtx,parallel,-O3,guided,1,4,2.222991,0.28,22.867
bcsstk27.mtx,parallel,-O3,guided,1,8,19.164491,0.3,26.366
bcsstk27.mtx,parallel,-O3,guided,1,16,26.000524,0.281,23.816
bcsstk27.mtx,parallel,-O3,guided,1,32,71.872162,0.24,25.611
bcsstk27.mtx,parallel,-O3,guided,1,64,73.550916,0.1,23.924
bcsstk27.mtx,parallel,-O3,guided,10,1,0.03941,0.27,13.34
bcsstk27.mtx,parallel,-O3,guided,10,2,0.031495,0.271,21.506
bcsstk27.mtx,parallel,-O3,guided,10,4,1.818919,0.28,23.36
bcsstk27.mtx,parallel,-O3,guided,10,8,28.921128,0.281,29.905
bcsstk27.mtx,parallel,-O3,guided,10,16,27.794838,0.31,28.986
bcsstk27.mtx,parallel,-O3,guided,10,32,61.733198,0.271,23.298
bcsstk27.mtx,parallel,-O3,guided,10,64,74.71571,0.11,23.488
bcsstk27.mtx,parallel,-O3,guided,100,1,0.030994,0.27,11.731
bcsstk27.mtx,parallel,-O3,guided,100,2,0.02799,0.27,19.912
bcsstk27.mtx,parallel,-O3,guided,100,4,1.933336,0.28,22.174
bcsstk27.mtx,parallel,-O3,guided,100,8,26.090717,0.271,22.037
bcsstk27.mtx,parallel,-O3,guided,100,16,25.10674,0.29,23.914
bcsstk27.mtx,parallel,-O3,guided,100,32,47.073745,0.22,19.946
bcsstk27.mtx,parallel,-O3,guided,100,64,112.45029,0.1,20.783
bcsstk27.mtx,parallel,-O3,guided,1000,1,0.032687,0.27,11.953
bcsstk27.mtx,parallel,-O3,guided,1000,2,0.036216,0.27,20.961
bcsstk27.mtx,parallel,-O3,guided,1000,4,26.99585,0.271,21.645
bcsstk27.mtx,parallel,-O3,guided,1000,8,22.101164,0.28,20.455
bcsstk27.mtx,parallel,-O3,guided,1000,16,32.097626,0.272,22.922
bcsstk27.mtx,parallel,-O3,guided,1000,32,57.046986,0.142,20.858
bcsstk27.mtx,parallel,-O3,guided,1000,64,83.29196,0.1,19.056
bcsstk27.mtx,parallel,-O3,guided,10000,1,0.032687,0.27,27.31
bcsstk27.mtx,parallel,-O3,guided,10000,2,1.349736,0.27,13.245
bcsstk27.mtx,parallel,-O3,guided,10000,4,2.750778,0.28,20.374
bcsstk27.mtx,parallel,-O3,guided,10000,8,27.474928,0.28,24.881
bcsstk27.mtx,parallel,-O3,guided,10000,16,26.241112,0.2,22.486
bcsstk27.mtx,parallel,-O3,guided,10000,32,61.301493,0.212,18.994
bcsstk27.mtx,parallel,-O3,guided,10000,64,67.426443,0.091,17.933
Hook_1498.mtx,parallel,-O3,static,1,1,33.018756,0.27,23.725
Hook_1498.mtx,parallel,-O3,static,1,2,52.731037,0.33,36.734
Hook_1498.mtx,parallel,-O3,static,1,4,66.164971,0.36,72.092
Hook_1498.mtx,parallel,-O3,static,1,8,47.4293,0.4,49.44
Hook_1498.mtx,parallel,-O3,static,1,16,38.08403,0.43,67.661
Hook_1498.mtx,parallel,-O3,static,1,32,27.775526,0.45,70.082
Hook_1498.mtx,parallel,-O3,static,1,64,54.005646,0.47,48.727
Hook_1498.mtx,parallel,-O3,static,10,1,33.210182,0.27,24.071
Hook_1498.mtx,parallel,-O3,static,10,2,45.721817,0.281,55.12
Hook_1498.mtx,parallel,-O3,static,10,4,37.2303,0.29,65.166
