matrix,mode,opt_level,schedule,chunk_size,num_threads,run,elapsed_time,L1_loads,L1_misses,L1_miss_rate,LLC_loads,LLC_misses,LLC_miss_rate
Andrews.mtx,sequential,-O3,none,none,1,1,0.001322,205705776,2083907,1.01,41571,5268,12.67
Andrews.mtx,sequential,-O3,none,none,1,2,0.001315,205705768,2078423,1.01,43929,2669,6.08
Andrews.mtx,sequential,-O3,none,none,1,3,0.001337,205705771,2079366,1.01,46337,4273,9.22
Andrews.mtx,sequential,-O3,none,none,1,4,0.001258,205705768,2068179,1.01,48892,8917,18.24
Andrews.mtx,sequential,-O3,none,none,1,5,0.001310,205705777,2076128,1.01,45812,3229,7.05
Andrews.mtx,sequential,-O3,none,none,1,6,0.001338,205705774,2077943,1.01,47086,3487,7.41
Andrews.mtx,sequential,-O3,none,none,1,7,0.001313,205705774,2077419,1.01,44072,2446,5.55
Andrews.mtx,sequential,-O3,none,none,1,8,0.001338,205705774,2063997,1.00,50576,2423,4.79
Andrews.mtx,sequential,-O3,none,none,1,9,0.001319,205705775,2063363,1.00,46488,2940,6.32
Andrews.mtx,sequential,-O3,none,none,1,10,0.001322,205705771,2074871,1.01,43898,2689,6.13
bcsstk27.mtx,sequential,-O3,none,none,1,1,0.000051,19651316,42209,0.21,1088,16,1.47
bcsstk27.mtx,sequential,-O3,none,none,1,2,0.000067,19651320,42708,0.22,1175,50,4.26
bcsstk27.mtx,sequential,-O3,none,none,1,3,0.000053,19651319,43917,0.22,1129,193,17.09
bcsstk27.mtx,sequential,-O3,none,none,1,4,0.000051,19651316,42902,0.22,971,6,0.62
bcsstk27.mtx,sequential,-O3,none,none,1,5,0.000052,19651319,44030,0.22,1196,14,1.17
bcsstk27.mtx,sequential,-O3,none,none,1,6,0.000055,19651316,43300,0.22,1027,16,1.56
bcsstk27.mtx,sequential,-O3,none,none,1,7,0.000052,19651319,44279,0.23,978,15,1.53
bcsstk27.mtx,sequential,-O3,none,none,1,8,0.000052,19651319,43307,0.22,992,11,1.11
bcsstk27.mtx,sequential,-O3,none,none,1,9,0.000052,19651319,43442,0.22,1020,7,0.69
bcsstk27.mtx,sequential,-O3,none,none,1,10,0.000052,19651319,42550,0.22,1019,6,0.59
Hook_1498.mtx,sequential,-O3,none,none,1,1,0.041067,21232504065,50147796,0.24,318762,71448,22.41
Hook_1498.mtx,sequential,-O3,none,none,1,2,0.040787,21232504072,50556877,0.24,268369,71902,26.79
Hook_1498.mtx,sequential,-O3,none,none,1,3,0.041602,21232504071,50046149,0.24,269725,70449,26.12
Hook_1498.mtx,sequential,-O3,none,none,1,4,0.040729,21232504072,50179610,0.24,269827,69472,25.75
Hook_1498.mtx,sequential,-O3,none,none,1,5,0.040917,21232504065,50365042,0.24,271195,69300,25.55
Hook_1498.mtx,sequential,-O3,none,none,1,6,0.040985,21232504065,50187291,0.24,269728,71198,26.40
Hook_1498.mtx,sequential,-O3,none,none,1,7,0.041059,21232504068,50242332,0.24,271978,73927,27.18
Hook_1498.mtx,sequential,-O3,none,none,1,8,0.040951,21232504068,50081339,0.24,273244,70494,25.80
Hook_1498.mtx,sequential,-O3,none,none,1,9,0.040853,21232504069,50085029,0.24,270961,70027,25.84
Hook_1498.mtx,sequential,-O3,none,none,1,10,0.041496,21232504068,49949885,0.24,268349,69659,25.96
msdoor.mtx,sequential,-O3,none,none,1,1,0.017763,7083137037,16568089,0.23,244034,91519,37.50
msdoor.mtx,sequential,-O3,none,none,1,2,0.017288,7083137138,17182625,0.24,274132,118231,43.13
msdoor.mtx,sequential,-O3,none,none,1,3,0.017201,7083137167,17121718,0.24,271182,117752,43.42
msdoor.mtx,sequential,-O3,none,none,1,4,0.017203,7083137178,16995210,0.24,272267,116398,42.75
msdoor.mtx,sequential,-O3,none,none,1,5,0.017194,7083137122,16951576,0.24,270489,115708,42.78
msdoor.mtx,sequential,-O3,none,none,1,6,0.017298,7083137171,17136648,0.24,271295,116609,42.98
msdoor.mtx,sequential,-O3,none,none,1,7,0.018022,7083137104,16881781,0.24,271650,117081,43.10
msdoor.mtx,sequential,-O3,none,none,1,8,0.017319,7083137115,17181226,0.24,272617,118457,43.45
msdoor.mtx,sequential,-O3,none,none,1,9,0.017244,7083137160,17038096,0.24,272414,117364,43.08
msdoor.mtx,sequential,-O3,none,none,1,10,0.017871,7083137083,17240828,0.24,271717,117282,43.16
tmt_sym.mtx,sequential,-O3,none,none,1,1,0.008142,2158159105,4884879,0.23,50405,13612,27.01
tmt_sym.mtx,sequential,-O3,none,none,1,2,0.007817,2158159093,4851002,0.22,46591,15464,33.19
tmt_sym.mtx,sequential,-O3,none,none,1,3,0.008601,2158159218,4948033,0.23,45272,13552,29.93
tmt_sym.mtx,sequential,-O3,none,none,1,4,0.007794,2158159484,4905479,0.23,43512,10630,24.43
tmt_sym.mtx,sequential,-O3,none,none,1,5,0.007804,2158159530,5014539,0.23,43013,14465,33.63
tmt_sym.mtx,sequential,-O3,none,none,1,6,0.008631,2158159214,4917096,0.23,46477,14298,30.76
tmt_sym.mtx,sequential,-O3,none,none,1,7,0.008643,2158159230,4846362,0.22,42602,14188,33.30
tmt_sym.mtx,sequential,-O3,none,none,1,8,0.007786,2158159483,4982837,0.23,43326,13254,30.59
tmt_sym.mtx,sequential,-O3,none,none,1,9,0.007767,2158159504,4946685,0.23,42763,13257,31.00
tmt_sym.mtx,sequential,-O3,none,none,1,10,0.008585,2158159236,4873911,0.23,44233,14150,31.99
Andrews.mtx,parallel,-O3,static,1,1,1,0.001404,210345813,2071911,0.99,45985,3227,7.02
Andrews.mtx,parallel,-O3,static,1,1,2,0.001399,210345812,2077033,0.99,46289,2607,5.63
Andrews.mtx,parallel,-O3,static,1,1,3,0.001403,210345816,2073503,0.99,48866,4364,8.93
Andrews.mtx,parallel,-O3,static,1,1,4,0.001384,210345812,2070892,0.98,47787,2247,4.70
Andrews.mtx,parallel,-O3,static,1,1,5,0.014480,210345778,2074421,0.99,56072,4945,8.82
Andrews.mtx,parallel,-O3,static,1,1,6,0.001415,210345812,2071111,0.98,47358,3670,7.75
Andrews.mtx,parallel,-O3,static,1,1,7,0.001408,210345809,2072936,0.99,50827,4212,8.29
Andrews.mtx,parallel,-O3,static,1,1,8,0.001385,210345815,2069037,0.98,47824,3347,7.00
Andrews.mtx,parallel,-O3,static,1,1,9,0.001396,210345816,2072697,0.99,45592,3918,8.59
Andrews.mtx,parallel,-O3,static,1,1,10,0.001434,210345815,2082497,0.99,49073,2009,4.09
Andrews.mtx,parallel,-O3,static,1,2,1,0.027182,212341662,2172200,1.02,57639,3668,6.36
Andrews.mtx,parallel,-O3,static,1,2,2,0.009687,211873410,2278557,1.08,57831,6045,10.45
Andrews.mtx,parallel,-O3,static,1,2,3,0.004849,211881864,2220045,1.05,58667,8566,14.60
Andrews.mtx,parallel,-O3,static,1,2,4,0.005953,211897813,2252896,1.06,75279,19453,25.84
Andrews.mtx,parallel,-O3,static,1,2,5,0.005707,211878718,2243337,1.06,57234,7112,12.43
Andrews.mtx,parallel,-O3,static,1,2,6,0.006385,211889516,2257496,1.07,87854,37209,42.35
Andrews.mtx,parallel,-O3,static,1,2,7,0.027202,212341211,2180115,1.03,58746,3465,5.90
Andrews.mtx,parallel,-O3,static,1,2,8,0.004944,211899417,2192526,1.03,60614,4337,7.16
Andrews.mtx,parallel,-O3,static,1,2,9,0.026474,212326690,2174105,1.02,57941,3891,6.72
