Retrieving the matrix from '../data/Hook_1498.mtx'...
Real Matrix (Strong Scaling): Rows=1498023 | Cols=1498023 | NNZ=31207734 | Procs=16
Matrix distributed and converted to CSR
Ghost columns identified: 1763661 total ghost values needed
Local vector initialized (size=93627 per process)
[RESULT] 13,16,0,0.040253162,0.025995255,1954271,1769120,3908542
[RESULT] 13,16,1,0.030456781,0.016179800,1954271,1769120,3908542
[RESULT] 13,16,2,0.027919292,0.013612270,1954271,1769120,3908542
[RESULT] 13,16,3,0.029437780,0.015191317,1954271,1769120,3908542
[RESULT] 13,16,4,0.029861927,0.015649080,1954271,1769120,3908542
[RESULT] 13,16,5,0.029448986,0.015229940,1954271,1769120,3908542
[RESULT] 13,16,6,0.030672789,0.016454220,1954271,1769120,3908542
[RESULT] 13,16,7,0.032334089,0.017992020,1954271,1769120,3908542
[RESULT] 13,16,8,0.030859232,0.016464472,1954271,1769120,3908542
[RESULT] 13,16,9,0.029056072,0.014899254,1954271,1769120,3908542
[RESULT] 14,16,0,0.039456129,0.025207520,1953268,1768309,3906536
[RESULT] 14,16,1,0.030661345,0.016475916,1953268,1768309,3906536
[RESULT] 14,16,2,0.029493570,0.015233994,1953268,1768309,3906536
[RESULT] 14,16,3,0.029476643,0.015307188,1953268,1768309,3906536
[RESULT] 14,16,4,0.029305935,0.014962673,1953268,1768309,3906536
[RESULT] 14,16,5,0.029449940,0.015158176,1953268,1768309,3906536
[RESULT] 14,16,6,0.030308962,0.016197920,1953268,1768309,3906536
[RESULT] 14,16,7,0.028681755,0.014399529,1953268,1768309,3906536
[RESULT] 14,16,8,0.029888630,0.015555382,1953268,1768309,3906536
[RESULT] 14,16,9,0.029599905,0.015242100,1953268,1768309,3906536
[RESULT] 0,16,0,0.035168409,0.020756721,1948584,1763661,3897168
[RESULT] 0,16,1,0.031316757,0.017345667,1948584,1763661,3897168
[RESULT] 0,16,2,0.031026125,0.016831398,1948584,1763661,3897168
[RESULT] 0,16,3,0.030248165,0.016193151,1948584,1763661,3897168
[RESULT] 0,16,4,0.030069590,0.015759706,1948584,1763661,3897168
[RESULT] 0,16,5,0.031167030,0.017003536,1948584,1763661,3897168
[RESULT] 0,16,6,0.031339407,0.017127752,1948584,1763661,3897168
[RESULT] 0,16,7,0.030043125,0.015876055,1948584,1763661,3897168
