Retrieving the matrix from '../data/tmt_sym.mtx'...
Real Matrix (Strong Scaling): Rows=726713 | Cols=726713 | NNZ=2903837 | Procs=128
Matrix distributed and converted to CSR
Ghost columns identified: 16858 total ghost values needed
Local vector initialized (size=5678 per process)
[RESULT] 65,128,0,0.004512072,0.004215002,22716,16961,45432
[RESULT] 65,128,1,0.017935038,0.017666817,22716,16961,45432
[RESULT] 65,128,2,0.022546530,0.022301435,22716,16961,45432
[RESULT] 65,128,3,0.011140823,0.010943174,22716,16961,45432
[RESULT] 65,128,4,0.004441261,0.004264593,22716,16961,45432
[RESULT] 65,128,5,0.004363060,0.004191875,22716,16961,45432
[RESULT] 65,128,6,0.004356623,0.004186392,22716,16961,45432
[RESULT] 65,128,7,0.004534245,0.004365683,22716,16961,45432
[RESULT] 65,128,8,0.004349947,0.004179716,22716,16961,45432
[RESULT] 65,128,9,0.004466057,0.004297972,22716,16961,45432
[RESULT] 120,128,0,0.004313946,0.003924847,22690,16940,45380
[RESULT] 120,128,1,0.028139114,0.027797461,22690,16940,45380
[RESULT] 120,128,2,0.032662153,0.032319069,22690,16940,45380
[RESULT] 120,128,3,0.015289307,0.014948368,22690,16940,45380
[RESULT] 120,128,4,0.004294395,0.003963709,22690,16940,45380
[RESULT] 120,128,5,0.004249334,0.003929138,22690,16940,45380
[RESULT] 120,128,6,0.004194736,0.003871202,22690,16940,45380
[RESULT] 120,128,7,0.004379034,0.004067659,22690,16940,45380
[RESULT] 120,128,8,0.012320280,0.011992455,22690,16940,45380
[RESULT] 120,128,9,0.004268885,0.003946781,22690,16940,45380
[RESULT] 85,128,0,0.004098654,0.003864288,22756,16964,45512
[RESULT] 85,128,1,0.017991304,0.017754555,22756,16964,45512
[RESULT] 85,128,2,0.022594213,0.022372246,22756,16964,45512
[RESULT] 85,128,3,0.011211395,0.010986328,22756,16964,45512
[RESULT] 85,128,4,0.003937244,0.003726959,22756,16964,45512
[RESULT] 85,128,5,0.003905773,0.003701687,22756,16964,45512
[RESULT] 85,128,6,0.003762960,0.003561020,22756,16964,45512
[RESULT] 85,128,7,0.003965855,0.003770113,22756,16964,45512
[RESULT] 85,128,8,0.003777027,0.003584862,22756,16964,45512
[RESULT] 85,128,9,0.003875256,0.003679276,22756,16964,45512
[RESULT] 71,128,0,0.004406691,0.004133463,22697,16957,45394
[RESULT] 71,128,1,0.017900467,0.017636061,22697,16957,45394
[RESULT] 71,128,2,0.022529125,0.022285938,22697,16957,45394
[RESULT] 71,128,3,0.011112213,0.010911465,22697,16957,45394
[RESULT] 71,128,4,0.004382849,0.004208326,22697,16957,45394
[RESULT] 71,128,5,0.004061222,0.003892660,22697,16957,45394
[RESULT] 71,128,6,0.004296541,0.004128218,22697,16957,45394
[RESULT] 71,128,7,0.004419327,0.004249096,22697,16957,45394
[RESULT] 71,128,8,0.004095316,0.003926039,22697,16957,45394
[RESULT] 71,128,9,0.004377604,0.004207611,22697,16957,45394
[RESULT] 121,128,0,0.004406214,0.003980875,22685,16946,45370
[RESULT] 121,128,1,0.028127432,0.027780294,22685,16946,45370
[RESULT] 121,128,2,0.032651424,0.032309294,22685,16946,45370
