num_procs,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
8,5,Andrews,0.0010821821,0.0005937577999999999,52386,37119,104772,0.0004884243
8,5,Hook_1498,0.0914422513,0.064746976,3905099,3314954,7810198,0.0266952753
8,5,bcsstk27,0.0001194957,0.0001066207,3507,2978,7014,1.2875000000000001e-05
8,5,msdoor,0.049058913999999926,0.03876299829999993,1286241,1100460,2572482,0.010295915699999998
8,5,tmt_sym,0.0065243008,0.0040984867,362813,249458,725626,0.0024258140999999997
8,6,Andrews,0.0010084863,0.0005329133999999999,50863,35902,101726,0.00047557290000000004
8,6,Hook_1498,0.09768962899999997,0.060929274699999994,3904396,3313720,7808792,0.03676035429999998
8,6,bcsstk27,0.00013077300000000002,0.00011766,3666,3135,7332,1.3113000000000022e-05
8,6,msdoor,0.0300145626,0.017308521599999998,1290372,1105085,2580744,0.012706041000000001
8,6,tmt_sym,0.0069861168999999996,0.004432583,362781,247182,725562,0.002553533899999999
8,7,Andrews,0.0011425253999999998,0.0006582734,51719,36647,103438,0.0004842519999999998
8,7,Hook_1498,0.19549643989999996,0.08750863119999994,3903272,3312570,7806544,0.10798780870000002
8,7,bcsstk27,0.00010805109999999999,9.551009999999999e-05,3535,3004,7070,1.2541e-05
8,7,msdoor,0.0260091545,0.017061113999999995,1300588,1114832,2601176,0.008948040500000004
8,7,tmt_sym,0.0064640999999999995,0.0038562061999999997,363277,249681,726554,0.0026078938
16,0,Andrews,0.0006993294999999999,0.0005012507999999999,25418,19812,50836,0.0001980787
16,0,Hook_1498,0.0645331621,0.049565625599999996,1948584,1763661,3897168,0.014967536500000003
16,0,bcsstk27,0.00014259789999999999,0.00013566,1838,1691,3676,6.937899999999973e-06
16,0,msdoor,0.021447062399999998,0.014821767699999999,640437,584179,1280874,0.006625294699999999
16,0,tmt_sym,0.0045211075,0.0034003492999999997,181270,131233,362540,0.0011207582
16,1,Andrews,0.0009641170999999999,0.0007543561999999999,25973,20247,51946,0.0002097609
16,1,Hook_1498,0.2785401819,0.2643236872,1946145,1761706,3892290,0.014216494700000026
16,1,bcsstk27,0.0001313928,0.0001245017,1756,1610,3512,6.891100000000006e-06
16,1,msdoor,0.04072909309999993,0.03601067029999993,644599,587876,1289198,0.004718422800000004
16,1,tmt_sym,0.004701518599999999,0.0035442115,181630,131157,363260,0.0011573070999999994
16,2,Andrews,0.0006960155,0.0004899501,25361,19701,50722,0.0002060654
16,2,Hook_1498,0.07056610569999999,0.056900429499999995,1946169,1761720,3892338,0.013665676199999997
16,2,bcsstk27,0.0001531603,0.0001462463,1830,1684,3660,6.914000000000009e-06
16,2,msdoor,0.0199883457,0.0151673076,646874,589801,1293748,0.004821038099999999
16,2,tmt_sym,0.004662919,0.0034710166999999998,181722,130102,363444,0.0011919023
16,3,Andrews,0.0007189277,0.0005145553,25702,20023,51404,0.0002043724
16,3,Hook_1498,0.10765156759999994,0.09440743899999994,1947798,1763230,3895596,0.013244128600000002
16,3,bcsstk27,0.0001504901,0.000144076,1739,1594,3478,6.4141000000000035e-06
16,3,msdoor,0.0181783919,0.0146467925,651848,595039,1303696,0.0035315994
16,3,tmt_sym,0.0045517683,0.0034786700999999997,181131,129518,362262,0.0010730982000000003
16,4,Andrews,0.0006707430999999999,0.00047047129999999997,25296,19731,50592,0.00020027179999999997
16,4,Hook_1498,0.0654211755,0.050586294799999994,1949220,1764802,3898440,0.014834880700000004
16,4,bcsstk27,0.0001364227,0.00012950870000000002,1828,1681,3656,6.9139999999999816e-06
16,4,msdoor,0.020137786799999998,0.014638351999999999,637904,581739,1275808,0.0054994347999999995
16,4,tmt_sym,0.0043189759999999995,0.0029936555,181624,130619,363248,0.0013253204999999994
16,5,Andrews,0.0008776662999999999,0.0006710526999999999,26090,20417,52180,0.0002066136
16,5,Hook_1498,0.11500318029999995,0.10101222949999994,1950828,1766242,3901656,0.013990950800000013
16,5,bcsstk27,0.00012707689999999998,0.000120616,1747,1599,3494,6.460899999999984e-06
16,5,msdoor,0.019974851499999998,0.015630841,642166,585473,1284332,0.004344010499999999
16,5,tmt_sym,0.0045552256,0.0033608438,181466,129753,362932,0.0011943817999999998
16,6,Andrews,0.0007093663999999999,0.0005136725999999999,25361,19736,50722,0.00019569379999999999
16,6,Hook_1498,0.10357727979999992,0.09002258779999991,1951128,1766131,3902256,0.013554692000000007
16,6,bcsstk27,0.000155663,0.00014877289999999999,1833,1684,3666,6.890100000000017e-06
16,6,msdoor,0.0202203514,0.0152685403,644374,588238,1288748,0.0049518111
16,6,tmt_sym,0.0046172615,0.0034873489000000002,181348,129810,362696,0.0011299125999999996
16,7,Andrews,0.0007050514999999999,0.0005055193,25792,20161,51584,0.00019953219999999995
16,7,Hook_1498,0.09312279219999994,0.08230421569999993,1952183,1766826,3904366,0.01081857650000001
16,7,bcsstk27,0.0001563073,0.0001496552,1774,1625,3548,6.65210000000001e-06
16,7,msdoor,0.0188675168,0.0153592585,649472,593567,1298944,0.0035082583000000007
16,7,tmt_sym,0.004458021800000001,0.0034305334,181639,131128,363278,0.0010274884000000006
16,8,Andrews,0.000685477,0.0004865646,25205,19622,50410,0.0001989124
16,8,Hook_1498,0.0715752837,0.0567347522,1950028,1764762,3900056,0.014840531500000004
16,8,bcsstk27,0.0001339432,0.0001263142,1829,1682,3658,7.628999999999991e-06
16,8,msdoor,0.0202434066,0.0147702214,640814,583523,1281628,0.005473185199999999
16,8,tmt_sym,0.0044294596,0.0033091544,181660,131605,363320,0.0011203052000000003
16,9,Andrews,0.0010750054,0.0008660791,25829,20214,51658,0.00020892630000000011
16,9,Hook_1498,0.2622950791,0.2483515738,1949619,1764519,3899238,0.013943505299999992
16,9,bcsstk27,0.0001292469,0.0001225709,1753,1608,3506,6.676000000000002e-06
16,9,msdoor,0.0197400329,0.0157360316,646142,589291,1292284,0.004004001300000001
16,9,tmt_sym,0.0044077638,0.0032453776,181401,131012,362802,0.0011623861999999997
16,10,Andrews,0.0007171873,0.0005213978,25295,19711,50590,0.00019578949999999999
16,10,Hook_1498,0.09947683769999993,0.08548412289999993,1950023,1764878,3900046,0.0139927148
16,10,bcsstk27,0.00015962150000000002,0.0001529217,1811,1667,3622,6.699800000000013e-06
16,10,msdoor,0.0191908361,0.0147012476,648933,592642,1297866,0.004489588500000001
16,10,tmt_sym,0.0044595007,0.0033109664,181553,129899,363106,0.0011485342999999998
16,11,Andrews,0.0007204058,0.0005171541,25805,20119,51610,0.00020325170000000002
16,11,Hook_1498,0.0723395346,0.0592834716,1952665,1767421,3905330,0.013056063000000007
16,11,bcsstk27,0.00015013239999999998,0.0001432422,1761,1615,3522,6.89019999999997e-06
16,11,msdoor,0.0193838598,0.014978313200000001,654058,597239,1308116,0.004405546599999999
16,11,tmt_sym,0.004642939499999999,0.0034758086999999997,181409,129769,362818,0.0011671307999999996
16,12,Andrews,0.0007734298999999999,0.0005691288,25225,19644,50450,0.00020430109999999997
16,12,Hook_1498,0.09817752829999994,0.08287882829999993,1954716,1769513,3909432,0.015298700000000012
16,12,bcsstk27,0.0001438856,0.000137162,1822,1676,3644,6.723599999999998e-06
16,12,msdoor,0.0194335223,0.0148452046,639589,583237,1279178,0.004588317699999999
16,12,tmt_sym,0.003957056699999999,0.0026923661,181566,130493,363132,0.0012646905999999995
16,13,Andrews,0.0010753151,0.0008648394,26296,20631,52592,0.00021047569999999992
16,13,Hook_1498,0.26684474929999996,0.25306632549999997,1954271,1769120,3908542,0.013778423799999995
16,13,bcsstk27,0.00014114369999999998,0.00013446769999999998,1760,1613,3520,6.676000000000002e-06
16,13,msdoor,0.04079382399999992,0.03628885739999993,644075,588125,1288150,0.004504966599999993
16,13,tmt_sym,0.0044497969,0.0032846690999999996,181347,129728,362694,0.0011651278
16,14,Andrews,0.0008244279,0.0006278757,25502,19882,51004,0.00019655219999999997
16,14,Hook_1498,0.0666439531,0.0541383504,1953268,1768309,3906536,0.0125056027
16,14,bcsstk27,0.00014979809999999998,0.00014290790000000001,1833,1686,3666,6.89019999999997e-06
16,14,msdoor,0.0191035513,0.0146819354,645998,589805,1291996,0.0044216159
16,14,tmt_sym,0.0046197887,0.0034175398,181433,129838,362866,0.0012022489000000003
16,15,Andrews,0.0008091925,0.0006088023000000001,25927,20263,51854,0.0002003901999999999
16,15,Hook_1498,0.09013133019999992,0.07868537929999991,1951089,1766056,3902178,0.011445950900000001
16,15,bcsstk27,0.0001566648,0.0001500127,1761,1615,3522,6.652099999999983e-06
16,15,msdoor,0.018848133399999998,0.015231538099999999,651116,594354,1302232,0.003616595299999999
16,15,tmt_sym,0.0045382265,0.0034098862,181638,131171,363276,0.0011283403
32,0,Andrews,0.0006582733,0.0005511041,12681,10367,25362,0.00010716920000000002
32,0,Hook_1498,0.10399088859999994,0.09537007769999994,972745,904793,1945490,0.008620810899999998
32,0,bcsstk27,0.0002485748,0.0002441172,933,860,1866,4.457599999999989e-06
32,0,msdoor,0.0162362341,0.0139060499,320135,299847,640270,0.0023301842
32,0,tmt_sym,0.0039288758,0.0033175230999999998,90585,66721,181170,0.0006113527000000006
32,1,Andrews,0.0006322384000000001,0.0005294319,12954,10608,25908,0.00010280650000000005
32,1,Hook_1498,0.29692842999999997,0.2893007757,972927,904955,1945854,0.007627654299999953
32,1,bcsstk27,0.0002922771,0.0002885107,882,810,1764,3.7664000000000187e-06
32,1,msdoor,0.02020122989999999,0.01771137739999999,322598,302140,645196,0.0024898525000000005
32,1,tmt_sym,0.0033545975,0.0027600526,90818,66786,181636,0.0005945449000000001
32,2,Andrews,0.0009478806999999999,0.0008579968,12628,10275,25256,8.98838999999999e-05
32,2,Hook_1498,0.2540920018,0.2463371995,972581,904745,1945162,0.00775480230000003
32,2,bcsstk27,0.0003413914,0.0003371242,918,846,1836,4.267199999999978e-06
32,2,msdoor,0.0162745948,0.0137938741,323864,303467,647728,0.0024807206999999994
32,2,tmt_sym,0.0038590911,0.0031950232999999996,90959,66699,181918,0.0006640678000000002
32,3,Andrews,0.0009954209999999998,0.0009001727999999999,12823,10482,25646,9.524819999999989e-05
32,3,Hook_1498,0.2921380516,0.28524236669999997,973651,905688,1947302,0.006895684900000032
32,3,bcsstk27,0.0003636357,0.00035889149999999997,883,811,1766,4.744200000000008e-06
32,3,msdoor,0.0159046653,0.013660049499999998,325977,305527,651954,0.0022446158000000004
32,3,tmt_sym,0.0030953888,0.0024319648,90504,66172,181008,0.0006634240000000001
32,4,Andrews,0.0006127598,0.0005228518,12572,10228,25144,8.990799999999998e-05
32,4,Hook_1498,0.2519168618,0.2431913372,973707,905877,1947414,0.008725524600000006
32,4,bcsstk27,0.000263929,0.0002598999,934,861,1868,4.029099999999992e-06
32,4,msdoor,0.016664886400000002,0.013957477,318486,298128,636972,0.0027074094000000028
32,4,tmt_sym,0.0038805488,0.0032743693999999998,90855,66736,181710,0.0006061794000000002
32,5,Andrews,0.0006005768,0.0004956724,12980,10629,25960,0.00010490439999999998
32,5,Hook_1498,0.2635748625,0.2556869986,974330,906534,1948660,0.007887863900000014
32,5,bcsstk27,0.00025503649999999994,0.00025169849999999997,894,820,1788,3.337999999999974e-06
32,5,msdoor,0.01917314569999999,0.016667604499999992,321070,300588,642140,0.0025055411999999992
32,5,tmt_sym,0.0038484574,0.003162551,90698,66358,181396,0.0006859064000000002
32,6,Andrews,0.0009143587,0.0008113141,12755,10404,25510,0.00010304460000000004
32,6,Hook_1498,0.07659044279999994,0.06858475189999994,975166,907255,1950332,0.008005690900000001
32,6,bcsstk27,0.0003214124,0.0003166435,933,859,1866,4.768900000000028e-06
32,6,msdoor,0.0161398886,0.0137683153,322055,301668,644110,0.002371573299999999
32,6,tmt_sym,0.0039202926,0.0033574346,90565,66295,181130,0.0005628579999999998
32,7,Andrews,0.0009494779,0.0008597848,12849,10485,25698,8.969309999999999e-05
32,7,Hook_1498,0.25967476359999997,0.2533720019,976100,907979,1952200,0.0063027616999999925
32,7,bcsstk27,0.00033268899999999994,0.0003279448,898,825,1796,4.744199999999954e-06
32,7,msdoor,0.016142010699999997,0.014187097499999999,324351,304094,648702,0.0019549131999999983
32,7,tmt_sym,0.0038717986000000003,0.0033188821999999996,90947,66907,181894,0.0005529164000000007
32,8,Andrews,0.000645471,0.0005432132,12629,10321,25258,0.00010225779999999997
32,8,Hook_1498,0.25298128119999996,0.2443660975,975096,906823,1950192,0.008615183699999973
32,8,bcsstk27,0.0003110649,0.0003071784,915,842,1830,3.886499999999991e-06
32,8,msdoor,0.015405273799999999,0.0131880756,320048,299530,640096,0.0022171981999999993
32,8,tmt_sym,0.0035371784,0.0029519316,90701,66857,181402,0.0005852468
32,9,Andrews,0.0006277323,0.0005230429999999999,12900,10561,25800,0.00010468930000000003
32,9,Hook_1498,0.2962123391,0.2882427931,973981,905835,1947962,0.007969545999999994
32,9,bcsstk27,0.0003206252,0.0003168817,879,807,1758,3.743500000000016e-06
32,9,msdoor,0.019782972399999987,0.01736957999999999,322781,302270,645562,0.0024133923999999987
32,9,tmt_sym,0.004036020800000001,0.0033741711,90753,66859,181506,0.0006618497000000006
32,10,Andrews,0.0009467599999999999,0.0008332015,12701,10351,25402,0.0001135585
32,10,Hook_1498,0.0587934737,0.0504739281,974666,906565,1949332,0.008319545599999999
32,10,bcsstk27,0.0003070593,0.0003025293,899,827,1798,4.5299999999999854e-06
32,10,msdoor,0.0166099787,0.014000082,323971,303751,647942,0.0026098966999999994
32,10,tmt_sym,0.0038146255,0.0032551051,90819,66572,181638,0.0005595204000000001
32,11,Andrews,0.0009599452,0.0008709189,12953,10594,25906,8.902629999999996e-05
32,11,Hook_1498,0.2561250921,0.2482667446,975804,907729,1951608,0.007858347500000001
32,11,bcsstk27,0.0003002639,0.0002957587,866,794,1732,4.505199999999985e-06
32,11,msdoor,0.0159644839,0.0142041923,326617,306299,653234,0.0017602916
32,11,tmt_sym,0.0032086607,0.0026655194,90791,66647,181582,0.0005431413000000001
32,12,Andrews,0.0006604908000000001,0.0005605223,12520,10190,25040,9.996850000000004e-05
32,12,Hook_1498,0.0563749549,0.047969269999999994,977977,909709,1955954,0.008405684900000009
32,12,bcsstk27,0.0002542736,0.0002506737,904,832,1808,3.599899999999999e-06
32,12,msdoor,0.0163579944,0.013689398600000001,319286,298847,638572,0.002668595799999998
32,12,tmt_sym,0.003568459,0.0029649024,90754,66616,181508,0.0006035566000000001
32,13,Andrews,0.0006347659,0.0005280733,12969,10626,25938,0.00010669260000000002
32,13,Hook_1498,0.2972236869,0.2893816467,977237,909137,1954474,0.007842040200000011
32,13,bcsstk27,0.0002574924,0.0002539393,874,801,1748,3.553099999999978e-06
32,13,msdoor,0.016530275,0.0142338511,321644,301434,643288,0.0022964239000000004
32,13,tmt_sym,0.0035830017999999996,0.0029825447,90682,66527,181364,0.0006004570999999996
32,14,Andrews,0.0009203195,0.0008018732,12670,10331,25340,0.00011844630000000002
32,14,Hook_1498,0.0555702209,0.0475819107,978414,910237,1956828,0.007988310200000001
32,14,bcsstk27,0.0003258233,0.0003208401,909,836,1818,4.983199999999976e-06
32,14,msdoor,0.0164691446,0.014133071799999999,323366,303187,646732,0.0023360728
32,14,tmt_sym,0.0036524773999999996,0.00301702,90586,66337,181172,0.0006354573999999996
32,15,Andrews,0.0008625981,0.0007450343999999999,12942,10569,25884,0.00011756370000000013
32,15,Hook_1498,0.2515488862,0.244790292,976435,908276,1952870,0.0067585941999999954
32,15,bcsstk27,0.0003211022,0.0003165483,867,795,1734,4.553900000000004e-06
32,15,msdoor,0.0156782867,0.0139512542,325721,305257,651442,0.0017270324999999979
32,15,tmt_sym,0.0038829324999999997,0.0033227683,90882,67014,181764,0.0005601641999999998
32,16,Andrews,0.0006569146000000001,0.0005558256,12737,10418,25474,0.00010108900000000006
32,16,Hook_1498,0.2536932944,0.2452428101,975839,907720,1951678,0.008450484299999977
32,16,bcsstk27,0.0003080607,0.0003044131,905,833,1810,3.647600000000002e-06
32,16,msdoor,0.016069054899999997,0.0137391093,320302,300034,640604,0.0023299455999999975
32,16,tmt_sym,0.0038229228999999997,0.0032656906,90685,66809,181370,0.0005572322999999996
32,17,Andrews,0.0006338359999999999,0.0005417107,13019,10627,26038,9.212529999999997e-05
32,17,Hook_1498,0.2942975999,0.2867571115,973218,905425,1946436,0.007540488399999989
32,17,bcsstk27,0.000275469,0.0002721072,874,803,1748,3.3617999999999582e-06
32,17,msdoor,0.0164614675,0.0142543078,322001,301680,644002,0.002207159700000001
32,17,tmt_sym,0.0041332719999999995,0.0035081152,90812,66784,181624,0.0006251567999999994
32,18,Andrews,0.0009100678,0.0008121965,12733,10394,25466,9.787130000000002e-05
32,18,Hook_1498,0.2552693126,0.24684925089999998,973588,905772,1947176,0.008420061700000037
32,18,bcsstk27,0.0003493544,0.0003445864,912,841,1824,4.767999999999992e-06
32,18,msdoor,0.0165506126,0.0139943124,323010,302564,646020,0.0025563002
32,18,tmt_sym,0.0039885525,0.0033408878,90763,66488,181526,0.0006476646999999999
32,19,Andrews,0.0009821173,0.0008788822,12879,10516,25758,0.00010323509999999995
32,19,Hook_1498,0.256268191,0.2491690872,974147,906298,1948294,0.007099103799999978
32,19,bcsstk27,0.00031430769999999997,0.00031120769999999994,856,785,1712,3.100000000000021e-06
32,19,msdoor,0.0158647297,0.0139532085,325871,305493,651742,0.0019115212000000003
32,19,tmt_sym,0.0036448236,0.003086734,90627,66278,181254,0.0005580896000000001
32,20,Andrews,0.0006992335999999998,0.0005861039999999999,12724,10396,25448,0.00011312959999999989
32,20,Hook_1498,0.2569487091,0.2482704639,975513,907386,1951026,0.008678245200000018
32,20,bcsstk27,0.000284529,0.000280476,894,823,1788,4.05300000000001e-06
32,20,msdoor,0.0163107161,0.0136343718,319418,299106,638836,0.002676344300000001
32,20,tmt_sym,0.0037302975,0.0030330659,90769,66710,181538,0.0006972316000000002
32,21,Andrews,0.0006330726,0.0005257607,13110,10721,26220,0.0001073119
