num_procs,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
8,4,tmt_sym,0.0532678365,0.0520130871,363190,251766,726380,0.0012547493999999978
8,5,Andrews,0.0029877427,0.0022136687,52386,37119,104772,0.000774074
8,5,Hook_1498,0.8372179744999999,0.8113161563,3905099,3314954,7810198,0.025901818199999926
8,5,bcsstk27,0.0260551456,0.0260033131,3507,2978,7014,5.183249999999792e-05
8,5,msdoor,0.2553974632,0.2340093612,1286241,1100460,2572482,0.02138810200000002
8,5,tmt_sym,0.0298350809,0.026308774799999997,362813,249458,725626,0.0035263061000000047
8,6,Andrews,0.0027369258,0.0024809599,50863,35902,101726,0.00025596590000000023
8,6,Hook_1498,0.8521918532999999,0.8297817472,3904396,3313720,7808792,0.022410106099999938
8,6,bcsstk27,0.0046324734,0.0045291901,3666,3135,7332,0.00010328329999999969
8,6,msdoor,0.24134342679999998,0.23661873379999998,1290372,1105085,2580744,0.004724693000000002
8,6,tmt_sym,0.027652788,0.026582717999999998,362781,247182,725562,0.0010700700000000028
8,7,Andrews,0.0032344338,0.0028644797,51719,36647,103438,0.00036995410000000006
8,7,Hook_1498,0.8154804228,0.8053136347000001,3903272,3312570,7806544,0.010166788099999935
8,7,bcsstk27,0.0052820683,0.0049517627,3535,3004,7070,0.0003303055999999997
8,7,msdoor,0.23849499229999999,0.2340616224,1300588,1114832,2601176,0.004433369899999984
8,7,tmt_sym,0.027333020700000002,0.0263257501,363277,249681,726554,0.0010072706000000022
16,0,Andrews,0.05865211479999999,0.05838704069999999,25418,19812,50836,0.0002650740999999984
16,0,Hook_1498,0.530874801,0.4720357416,1948584,1763661,3897168,0.05883905939999995
16,0,bcsstk27,0.0818123103,0.0817997216,1838,1691,3676,1.2588699999996344e-05
16,0,msdoor,0.14878728389999998,0.1428389785,640437,584179,1280874,0.005948305399999992
16,0,tmt_sym,0.0794206143,0.0778866053,181270,131233,362540,0.0015340090000000028
16,1,Andrews,0.0562698129,0.0560195448,25973,20247,51946,0.00025026809999999927
16,1,Hook_1498,0.46298534869999997,0.4282983068,1946145,1761706,3892290,0.03468704189999999
16,1,bcsstk27,0.06242902259999999,0.06241769779999999,1756,1610,3512,1.132479999999686e-05
16,1,msdoor,0.17294740720000001,0.16810693729999998,644599,587876,1289198,0.004840469900000033
16,1,tmt_sym,0.059628963699999996,0.058270215699999996,181630,131157,363260,0.001358748
16,2,Andrews,0.0562474725,0.0559965853,25361,19701,50722,0.0002508872000000009
16,2,Hook_1498,0.4510337117,0.3943295242,1946169,1761720,3892338,0.0567041875
16,2,bcsstk27,0.0601741072,0.060162854,1830,1684,3660,1.1253199999998464e-05
16,2,msdoor,0.15018851779999998,0.1424174787,646874,589801,1293748,0.007771039099999988
16,2,tmt_sym,0.0573725466,0.055988741200000004,181722,130102,363444,0.0013838053999999933
16,3,Andrews,0.08819272489999999,0.0880012749,25702,20023,51404,0.0001914499999999958
16,3,Hook_1498,0.7330903768,0.6859085085,1947798,1763230,3895596,0.04718186830000004
16,3,bcsstk27,0.0879978899,0.08798854369999999,1739,1594,3478,9.346200000009963e-06
16,3,msdoor,0.2257006165,0.2201976302,651848,595039,1303696,0.005502986300000012
16,3,tmt_sym,0.0893358226,0.0880621434,181131,129518,362262,0.0012736792000000025
16,4,Andrews,0.0562796596,0.0560240744,25296,19731,50592,0.00025558519999999835
16,4,Hook_1498,0.45791287379999995,0.3991421698,1949220,1764802,3898440,0.05877070399999995
16,4,bcsstk27,0.0574670074,0.057454371899999995,1828,1681,3656,1.263550000000363e-05
16,4,msdoor,0.1478043796,0.1420334343,637904,581739,1275808,0.005770945299999997
16,4,tmt_sym,0.035379743699999994,0.03384048909999999,181624,130619,363248,0.0015392546000000049
16,5,Andrews,0.0282885786,0.0280551429,26090,20417,52180,0.00023343569999999952
16,5,Hook_1498,0.4631515267,0.4283197639,1950828,1766242,3901656,0.0348317628
16,5,bcsstk27,0.0560265064,0.056016826400000004,1747,1599,3494,9.679999999998024e-06
16,5,msdoor,0.1487775086,0.1420787575,642166,585473,1284332,0.006698751099999983
