num_procs,rank,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,0,0.0014857529,7.15e-07,500109,0,1000218,0.0014850379
2,0,0.0079932213,0.0028244491999999998,500109,249636,1000218,0.005168772100000001
2,1,0.0072475434000000005,0.0020640139,499877,250129,999754,0.005183529500000001
4,0,0.0085605142,0.0046589616999999995,500109,375097,1000218,0.0039015524999999997
4,1,0.0076437947,0.004053521199999999,499877,374927,999754,0.0035902735000000003
4,2,0.0079266544,0.0037995343,499748,374720,999496,0.0041271201
4,3,0.0077350852,0.0037871840999999995,499898,374377,999796,0.003947901100000001
8,0,0.009330105699999999,0.006519914,500109,437339,1000218,0.002810191699999999
8,1,0.0092047217,0.0061098097,499877,437248,999754,0.003094912
8,2,0.0083292483,0.004524469299999999,499748,437445,999496,0.0038047790000000003
8,3,0.009344387499999999,0.005967450299999999,499898,437328,999796,0.0033769372
8,4,0.0086701151,0.0056881429,499887,437529,999774,0.0029819722000000003
8,5,0.008700347399999999,0.005568933399999999,500177,437814,1000354,0.003131414
8,6,0.009489416899999999,0.0065975424,499961,437495,999922,0.002891874499999999
8,7,0.010500979799999999,0.0058668379,500058,437467,1000116,0.0046341418999999995
16,0,0.0133685109,0.0095508101,500109,468852,1000218,0.0038177008000000005
16,1,0.0140052076,0.010003495199999999,499877,468467,999754,0.004001712400000001
16,2,0.014249872799999999,0.0097052097,499748,468444,999496,0.004544663099999999
16,3,0.014850020799999999,0.0111536742,499898,468547,999796,0.003696346599999999
16,4,0.0122824672,0.0091138122,499887,468827,999774,0.0031686549999999994
16,5,0.0123291254,0.0091676001,500177,468950,1000354,0.0031615253000000006
16,6,0.013715410599999998,0.0096881393,499961,468796,999922,0.004027271299999998
16,7,0.013764763099999999,0.0096384999,500058,468786,1000116,0.004126263199999999
16,8,0.0155162097,0.010864401,500107,468851,1000214,0.004651808700000001
16,9,0.015861034299999997,0.012284111899999998,500244,468967,1000488,0.003576922399999998
16,10,0.012298989599999999,0.0091705326,499829,468882,999658,0.0031284569999999994
16,11,0.0123312234,0.0092851636,500017,468859,1000034,0.0030460598000000005
16,12,0.033610797299999925,0.029563999099999926,500307,469078,1000614,0.0040467982
16,13,0.0139442447,0.0097615001,499794,468657,999588,0.0041827446
16,14,0.0145916461,0.0098664045,500214,469148,1000428,0.004725241599999999
16,15,0.015307020999999999,0.011870765299999999,499809,468597,999618,0.0034362557
32,0,0.2650070905,0.259922266,500109,484522,1000218,0.005084824499999974
32,1,0.0237165688,0.0192983867,499877,484348,999754,0.004418182100000001
32,2,0.0316299201,0.021743464499999997,499748,484108,999496,0.009886455600000003
32,3,0.027508425399999994,0.017828178,499898,484190,999796,0.009680247399999994
32,4,0.0216066837,0.017144775199999997,499887,484380,999774,0.004461908500000004
32,5,0.0221670626,0.0184042455,500177,484571,1000354,0.0037628170999999995
