Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio
1,0,0.0,0,
2,53459,53822.0,54185,1.007
4,56581,57199.5,58254,1.018
8,35617,36218.12,37119,1.025
16,19622,19994.62,20631,1.032
32,10190,10471.41,11007,1.051
64,5076,5352.62,5706,1.066
128,2553,2705.54,2961,1.094
