Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio
1,0,0.0,0,
2,725736,725864.0,725992,1.0
4,453313,453652.0,453905,1.001
8,247182,249510.88,251766,1.009
16,129518,130427.19,131605,1.009
32,66172,66631.78,67087,1.007
64,33377,33670.56,33935,1.008
128,16785,16924.05,17107,1.011
