Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio
1,0,0.0,0,
2,7596746,7597575.5,7598405,1.0
4,5690589,5692005.25,5692751,1.0
8,3306649,3310968.38,3314954,1.001
16,1761706,1765556.0,1769513,1.002
32,904745,907201.97,910237,1.003
64,457315,459264.42,462194,1.006
128,229477,230953.0,232549,1.007
