Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio
1,0,0.0,0,
2,2512743,2529072.0,2545401,1.006
4,1871027,1893982.5,1917833,1.013
8,1092082,1104448.38,1118212,1.012
16,581739,589008.0,597239,1.014
32,298128,302397.22,306959,1.015
64,150946,153154.52,155886,1.018
128,75498,77017.66,78540,1.02
